LOCALDATE (BEIJING),SITE,PAINS (HPA),QNH AERODROME (HPA),ST,QFE R06 (HPA),ST,QFE R24 (HPA),ST,QFF AERODROME (HPA),TREND,TENDENCY,TEMP (°C),RH (%),DEWPOINT (°C),TU DATA
2020/3/12 08:00:00,R06,1016.9,1018.44, ,1016.88, ,1017.05, ,1018.47,0.3,3,9.7,85,7.32,   9.7    85 81F6
2020/3/12 08:01:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,9.8,85,7.42,   9.8    85 5834
2020/3/12 08:02:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,9.8,84,7.24,   9.8    84 6B05
2020/3/12 08:03:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.3,3,9.9,84,7.34,   9.9    84 2CD6
2020/3/12 08:04:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.3,3,9.9,84,7.34,   9.9    84 2CD6
2020/3/12 08:05:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.4,3,10,84,7.44,  10.0    84 DDA5
2020/3/12 08:06:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.4,3,10,83,7.27,  10.0    83 4432
2020/3/12 08:07:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.4,3,10.1,84,7.54,  10.1    84 9A76
2020/3/12 08:08:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.4,3,10.2,84,7.64,  10.2    84 5203
2020/3/12 08:09:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.4,3,10.2,83,7.46,  10.2    83 CB94
2020/3/12 08:10:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.4,3,10.3,84,7.73,  10.3    84 15D0
2020/3/12 08:11:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.4,3,10.5,85,8.1,  10.5    85 A62A
2020/3/12 08:12:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.4,3,10.5,83,7.76,  10.5    83 0C8C
2020/3/12 08:13:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.4,3,10.5,83,7.76,  10.5    83 0C8C
2020/3/12 08:14:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.4,3,10.6,82,7.68,  10.6    82 F7C8
2020/3/12 08:15:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,10.6,82,7.68,  10.6    82 F7C8
2020/3/12 08:16:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.3,3,10.6,80,7.32,  10.6    80 91AA
2020/3/12 08:17:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.3,3,10.7,81,7.6,  10.7    81 E548
2020/3/12 08:18:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.3,3,10.7,80,7.42,  10.7    80 D679
2020/3/12 08:19:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.3,3,10.7,80,7.42,  10.7    80 D679
2020/3/12 08:20:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,10.8,80,7.51,  10.8    80 0FBB
2020/3/12 08:21:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,10.9,80,7.61,  10.9    80 4868
2020/3/12 08:22:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,10.9,79,7.43,  10.9    79 DEC1
2020/3/12 08:23:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,11.1,81,7.99,  11.1    81 0AC6
2020/3/12 08:24:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.3,3,11.2,81,8.09,  11.2    81 C2B3
2020/3/12 08:25:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.1,3,11.2,79,7.72,  11.2    79 672B
2020/3/12 08:26:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.1,3,11.3,78,7.63,  11.3    78 13C9
2020/3/12 08:27:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.1,3,11.2,78,7.54,  11.2    78 541A
2020/3/12 08:28:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.1,3,11.2,76,7.16,  11.2    76 7715
2020/3/12 08:29:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.1,3,11.5,79,8.01,  11.5    79 A033
2020/3/12 08:30:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.57,0.1,3,11.5,78,7.83,  11.5    78 9302
2020/3/12 08:31:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.1,3,11.5,74,7.06,  11.5    74 D66F
2020/3/12 08:32:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.1,3,11.4,73,6.77,  11.4    73 082B
2020/3/12 08:33:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.1,3,11.5,74,7.06,  11.5    74 D66F
2020/3/12 08:34:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.1,3,11.5,74,7.06,  11.5    74 D66F
2020/3/12 08:35:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.2,3,11.6,74,7.16,  11.6    74 1E1A
2020/3/12 08:36:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.67,0.2,3,11.8,75,7.55,  11.8    75 B33A
2020/3/12 08:37:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.2,3,12,77,8.13,  12.0    77 7A4D
2020/3/12 08:38:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.2,3,12,74,7.55,  12.0    74 2F1E
2020/3/12 08:39:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.2,3,11.8,72,6.95,  11.8    72 2AAD
2020/3/12 08:40:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.2,3,11.9,73,7.25,  11.9    73 5E4F
2020/3/12 08:41:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.2,3,12,74,7.55,  12.0    74 2F1E
2020/3/12 08:42:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.2,3,11.9,72,7.05,  11.9    72 6D7E
2020/3/12 08:43:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.2,3,12,72,7.15,  12.0    72 85B8
2020/3/12 08:44:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.76,0.2,3,12,73,7.35,  12.0    73 B689
2020/3/12 08:45:00,R06,1017.2,1018.74, ,1017.18, ,1017.35, ,1018.76,0.4,3,12.1,73,7.44,  12.1    73 F15A
2020/3/12 08:46:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.4,3,12.2,73,7.54,  12.2    73 392F
2020/3/12 08:47:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.4,3,12.2,74,7.74,  12.2    74 A0B8
2020/3/12 08:48:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.4,3,12.2,74,7.74,  12.2    74 A0B8
2020/3/12 08:49:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.4,3,12.2,74,7.74,  12.2    74 A0B8
2020/3/12 08:50:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.4,3,12.2,71,7.14,  12.2    71 5F4D
2020/3/12 08:51:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.4,3,12.3,73,7.64,  12.3    73 7EFC
2020/3/12 08:52:00,R06,1017,1018.54, ,1016.98, ,1017.15, ,1018.56,0.4,3,12.3,72,7.44,  12.3    72 4DCD
2020/3/12 08:53:00,R06,1017.1,1018.64, ,1017.08, ,1017.25, ,1018.66,0.4,3,12.4,71,7.33,  12.4    71 DF86
