LOCALDATE,RVR_1A,MOR_1A,LIGHTS,PAINS,QNH AERODROME,QFE R06,TEMP,RH,DEWPOINT,WS2A,WD2A,CW2A
2019-12-15 08:00:00,3000,7000,10,1023.30,1024.84,1023.28,8.60,90.00,7.06,3.78,86.00,1.78
2019-12-15 08:00:15,3000,7000,10,1023.30,1024.84,1023.28,8.60,90.00,7.06,3.81,87.00,1.85
2019-12-15 08:00:30,3000,7000,10,1023.30,1024.84,1023.28,8.60,90.00,7.06,3.82,88.00,1.91
2019-12-15 08:00:45,3000,7000,10,1023.30,1024.84,1023.28,8.60,90.00,7.06,3.77,88.00,1.89
2019-12-15 08:01:00,3000,7000,10,1023.30,1024.84,1023.28,8.60,90.00,7.06,3.74,89.00,1.93
2019-12-15 08:01:15,3000,7000,10,1023.30,1024.84,1023.28,8.62,90.00,7.08,3.70,88.00,1.85
2019-12-15 08:01:30,3000,7000,10,1023.30,1024.84,1023.28,8.65,90.00,7.11,3.74,89.00,1.93
2019-12-15 08:01:45,3000,7000,10,1023.30,1024.84,1023.28,8.67,90.00,7.13,3.90,88.00,1.95
2019-12-15 08:02:00,3000,6000,10,1023.30,1024.84,1023.28,8.70,90.00,7.16,4.01,87.00,1.94
2019-12-15 08:02:15,3000,6000,10,1023.30,1024.84,1023.28,8.72,90.00,7.19,4.12,86.00,1.93
2019-12-15 08:02:30,3000,6000,10,1023.30,1024.84,1023.28,8.75,90.00,7.21,4.16,86.00,1.95
2019-12-15 08:02:45,3000,6000,10,1023.30,1024.84,1023.28,8.78,90.00,7.23,4.24,88.00,2.12
2019-12-15 08:03:00,3000,7000,10,1023.30,1024.84,1023.28,8.80,90.00,7.26,4.25,89.00,2.19
2019-12-15 08:03:15,3000,7000,10,1023.30,1024.84,1023.28,8.83,90.00,7.29,4.22,89.00,2.17
2019-12-15 08:03:30,3000,7000,10,1023.30,1024.84,1023.28,8.85,90.00,7.31,4.21,88.00,2.10
2019-12-15 08:03:45,3000,7000,10,1023.30,1024.84,1023.28,8.88,90.00,7.33,4.25,89.00,2.19
2019-12-15 08:04:00,3000,7000,10,1023.30,1024.84,1023.28,8.90,90.00,7.36,4.32,90.00,2.29
2019-12-15 08:04:15,3000,7000,10,1023.30,1024.84,1023.28,8.93,89.75,7.35,4.26,92.00,2.38
2019-12-15 08:04:30,3000,7000,10,1023.30,1024.84,1023.28,8.95,89.50,7.33,4.34,92.00,2.43
2019-12-15 08:04:45,3000,8000,10,1023.30,1024.84,1023.28,8.97,89.25,7.31,4.42,92.00,2.47
2019-12-15 08:05:00,3000,8000,10,1023.30,1024.84,1023.28,9.00,89.00,7.30,4.65,93.00,2.67
2019-12-15 08:05:15,3000,8000,10,1023.30,1024.84,1023.28,9.03,89.00,7.32,4.82,94.00,2.83
2019-12-15 08:05:30,3000,8000,10,1023.30,1024.84,1023.28,9.05,89.00,7.34,4.96,95.00,2.98
2019-12-15 08:05:45,3000,8000,10,1023.30,1024.84,1023.28,9.07,89.00,7.37,4.95,96.00,3.05
2019-12-15 08:06:00,3000,7000,10,1023.30,1024.84,1023.28,9.10,89.00,7.39,4.93,95.00,2.97
2019-12-15 08:06:15,3000,7000,10,1023.27,1024.82,1023.25,9.12,88.75,7.38,4.93,95.00,2.97
2019-12-15 08:06:30,3000,8000,10,1023.25,1024.79,1023.23,9.15,88.50,7.36,4.85,95.00,2.92
2019-12-15 08:06:45,3000,8000,10,1023.23,1024.76,1023.20,9.17,88.25,7.34,4.76,95.00,2.86
2019-12-15 08:07:00,3000,8000,10,1023.20,1024.74,1023.18,9.20,88.00,7.33,4.74,95.00,2.85
2019-12-15 08:07:15,3000,8000,10,1023.23,1024.76,1023.20,9.20,87.75,7.29,4.73,95.00,2.85
2019-12-15 08:07:30,3000,8000,10,1023.25,1024.79,1023.23,9.20,87.50,7.25,4.66,95.00,2.80
2019-12-15 08:07:45,3000,8000,10,1023.27,1024.82,1023.25,9.20,87.25,7.20,4.60,95.00,2.77
2019-12-15 08:08:00,3000,8000,10,1023.30,1024.84,1023.28,9.20,87.00,7.16,4.49,94.00,2.64
2019-12-15 08:08:15,3000,8000,10,1023.30,1024.84,1023.28,9.20,87.00,7.16,4.40,94.00,2.59
2019-12-15 08:08:30,3000,8000,10,1023.30,1024.84,1023.28,9.20,87.00,7.16,4.39,94.00,2.58
2019-12-15 08:08:45,3000,8000,10,1023.30,1024.85,1023.28,9.20,87.00,7.16,4.40,95.00,2.65
2019-12-15 08:09:00,3000,8000,10,1023.30,1024.85,1023.28,9.20,87.00,7.16,4.37,94.00,2.57
2019-12-15 08:09:15,3000,8000,10,1023.30,1024.85,1023.28,9.20,87.00,7.16,4.32,94.00,2.54
2019-12-15 08:09:30,3000,8000,10,1023.30,1024.85,1023.28,9.20,87.00,7.16,4.27,95.00,2.57
2019-12-15 08:09:45,3000,8000,10,1023.30,1024.85,1023.28,9.20,87.00,7.16,4.17,95.00,2.51
2019-12-15 08:10:00,3000,8000,10,1023.30,1024.85,1023.28,9.20,87.00,7.16,4.20,95.00,2.53
2019-12-15 08:10:15,3000,8000,10,1023.30,1024.85,1023.28,9.22,87.00,7.19,4.31,95.00,2.60
2019-12-15 08:10:30,3000,8000,10,1023.30,1024.85,1023.28,9.25,87.00,7.21,4.37,94.00,2.57
2019-12-15 08:10:45,3000,8000,10,1023.30,1024.85,1023.28,9.28,87.00,7.23,4.46,93.00,2.56
2019-12-15 08:11:00,3000,8000,10,1023.30,1024.85,1023.28,9.30,87.00,7.26,4.45,93.00,2.55
2019-12-15 08:11:15,3000,8000,10,1023.30,1024.85,1023.28,9.33,87.00,7.29,4.39,93.00,2.52
2019-12-15 08:11:30,3000,8000,10,1023.30,1024.85,1023.28,9.35,87.00,7.31,4.42,92.00,2.47
