LOCALDATE (BEIJING),RVR_1A,MOR_1A,LIGHTS,PAINS (HPA),QNH AERODROME (HPA),QFE R06 (HPA),TEMP (°C),RH (%),DEWPOINT (°C),WS2A (MPS),WD2A,CW2A (MPS)
2020-03-12 08:00:00,3000,3000,100,1016.90,1018.44,1016.88,9.70,85.00,7.32,1.47,70,0.31
2020-03-12 08:00:15,3000,3000,100,1016.92,1018.47,1016.90,9.72,85.00,7.35,1.49,69,0.29
2020-03-12 08:00:30,3000,3000,100,1016.95,1018.49,1016.93,9.75,85.00,7.37,1.57,66,0.22
2020-03-12 08:00:45,3000,3100,100,1016.98,1018.51,1016.96,9.78,85.00,7.39,1.60,64,0.17
2020-03-12 08:01:00,3000,3100,100,1017.00,1018.54,1016.98,9.80,85.00,7.42,1.57,65,0.19
2020-03-12 08:01:15,3000,3100,100,1017.00,1018.54,1016.98,9.80,84.75,7.38,1.53,66,0.21
2020-03-12 08:01:30,3000,3100,100,1017.00,1018.54,1016.98,9.80,84.50,7.33,1.53,63,0.13
2020-03-12 08:01:45,3000,3100,100,1017.00,1018.54,1016.98,9.80,84.25,7.29,1.55,59,0.03
2020-03-12 08:02:00,3000,3100,100,1017.00,1018.54,1016.98,9.80,84.00,7.24,1.56,57,-0.03
2020-03-12 08:02:15,3000,3100,100,1017.02,1018.56,1017.00,9.83,84.00,7.27,1.58,55,-0.08
2020-03-12 08:02:30,3000,3100,100,1017.05,1018.59,1017.03,9.85,84.00,7.29,1.53,53,-0.13
2020-03-12 08:02:45,3000,3100,100,1017.08,1018.62,1017.06,9.88,84.00,7.31,1.53,51,-0.19
2020-03-12 08:03:00,3000,3100,100,1017.10,1018.64,1017.08,9.90,84.00,7.34,1.48,48,-0.26
2020-03-12 08:03:15,3000,3100,100,1017.10,1018.64,1017.08,9.90,84.00,7.34,1.48,45,-0.33
2020-03-12 08:03:30,3000,3100,100,1017.10,1018.64,1017.08,9.90,84.00,7.34,1.52,47,-0.29
2020-03-12 08:03:45,3000,3100,100,1017.10,1018.64,1017.08,9.90,84.00,7.34,1.56,49,-0.24
2020-03-12 08:04:00,3000,3100,100,1017.10,1018.64,1017.08,9.90,84.00,7.34,1.62,52,-0.17
2020-03-12 08:04:15,3000,3100,100,1017.10,1018.64,1017.08,9.93,84.00,7.37,1.67,55,-0.09
2020-03-12 08:04:30,3000,3100,100,1017.10,1018.64,1017.08,9.95,84.00,7.39,1.79,58,0.00
2020-03-12 08:04:45,3000,3100,100,1017.10,1018.64,1017.08,9.97,84.00,7.42,1.85,61,0.10
2020-03-12 08:05:00,3000,3100,100,1017.10,1018.64,1017.08,10.00,84.00,7.44,1.91,63,0.17
2020-03-12 08:05:15,3000,3100,100,1017.10,1018.64,1017.08,10.00,83.75,7.40,2.08,66,0.29
2020-03-12 08:05:30,3000,3000,100,1017.10,1018.64,1017.08,10.00,83.50,7.36,2.18,68,0.38
2020-03-12 08:05:45,3000,3000,100,1017.10,1018.64,1017.08,10.00,83.25,7.31,2.27,70,0.47
2020-03-12 08:06:00,3000,3000,100,1017.10,1018.64,1017.08,10.00,83.00,7.27,2.37,72,0.57
2020-03-12 08:06:15,3000,3000,100,1017.10,1018.64,1017.08,10.03,83.25,7.34,2.45,73,0.63
2020-03-12 08:06:30,3000,3000,100,1017.10,1018.64,1017.08,10.05,83.50,7.40,2.51,75,0.73
2020-03-12 08:06:45,3000,3100,100,1017.10,1018.64,1017.08,10.07,83.75,7.47,2.61,77,0.85
2020-03-12 08:07:00,3000,3100,100,1017.10,1018.64,1017.08,10.10,84.00,7.54,2.75,78,0.94
2020-03-12 08:07:15,3000,3100,100,1017.10,1018.64,1017.08,10.12,84.00,7.56,2.75,79,0.99
2020-03-12 08:07:30,3000,3100,100,1017.10,1018.64,1017.08,10.15,84.00,7.59,2.72,80,1.02
2020-03-12 08:07:45,3000,3100,100,1017.10,1018.64,1017.08,10.17,84.00,7.62,2.65,82,1.08
2020-03-12 08:08:00,3000,3100,100,1017.10,1018.64,1017.08,10.20,84.00,7.64,2.59,83,1.09
2020-03-12 08:08:15,3000,3100,100,1017.08,1018.62,1017.06,10.20,83.75,7.59,2.61,84,1.14
2020-03-12 08:08:30,3000,3100,100,1017.05,1018.59,1017.03,10.20,83.50,7.55,2.60,84,1.14
2020-03-12 08:08:45,3000,3100,100,1017.02,1018.56,1017.00,10.20,83.25,7.50,2.59,84,1.14
2020-03-12 08:09:00,3000,3100,100,1017.00,1018.54,1016.98,10.20,83.00,7.46,2.57,83,1.09
2020-03-12 08:09:15,3000,3100,100,1017.00,1018.54,1016.98,10.22,83.25,7.53,2.50,83,1.06
2020-03-12 08:09:30,3000,3100,100,1017.00,1018.54,1016.98,10.25,83.50,7.60,2.50,82,1.02
2020-03-12 08:09:45,3000,3100,100,1017.00,1018.54,1016.98,10.28,83.75,7.66,2.57,82,1.04
2020-03-12 08:10:00,3000,3100,100,1017.00,1018.54,1016.98,10.30,84.00,7.73,2.63,81,1.03
2020-03-12 08:10:15,3000,3100,100,1017.00,1018.54,1016.98,10.35,84.25,7.82,2.59,81,1.01
